,status_group
2250,functional
2251,non functional
2252,functional
2253,functional
2254,functional
2255,functional
2256,non functional
2257,non functional
2258,functional
2259,non functional
2260,non functional
2261,functional
2262,functional
2263,functional needs repair
2264,functional
2265,functional
2266,functional
2267,functional
2268,functional
2269,non functional
2270,non functional
2271,functional
2272,functional
2273,functional
2274,non functional
2275,non functional
2276,functional
2277,functional
2278,non functional
2279,non functional
2280,non functional
2281,functional
2282,non functional
2283,functional
2284,non functional
2285,functional
2286,non functional
2287,functional
2288,functional
2289,non functional
2290,functional
2291,non functional
2292,functional needs repair
2293,functional needs repair
2294,functional
2295,functional needs repair
2296,functional
2297,functional
2298,non functional
2299,non functional
2300,functional
2301,functional
2302,non functional
2303,functional
2304,non functional
2305,non functional
2306,functional
2307,functional
2308,functional needs repair
2309,functional
2310,functional
2311,non functional
2312,functional
2313,functional
2314,functional
2315,functional
2316,functional
2317,functional
2318,functional
2319,non functional
2320,non functional
2321,non functional
2322,non functional
2323,non functional
2324,functional
2325,functional
2326,non functional
2327,functional
2328,functional
2329,functional
2330,functional needs repair
2331,functional
2332,functional needs repair
2333,non functional
2334,functional
2335,functional needs repair
2336,functional
2337,functional
2338,functional needs repair
2339,functional
2340,non functional
2341,functional
2342,functional
2343,non functional
2344,functional needs repair
2345,functional
2346,functional
2347,non functional
2348,functional
2349,non functional
2350,functional
2351,functional
2352,functional
2353,functional
2354,non functional
2355,functional
2356,functional
2357,functional
2358,functional
2359,functional
2360,functional
2361,non functional
2362,non functional
2363,non functional
2364,functional
2365,functional
2366,non functional
2367,functional
2368,non functional
2369,functional
2370,non functional
2371,functional
2372,non functional
2373,functional
2374,non functional
2375,functional
2376,non functional
2377,functional
2378,non functional
2379,functional
2380,functional
2381,non functional
2382,functional
2383,non functional
2384,non functional
2385,functional
2386,non functional
2387,functional
2388,functional
2389,functional
2390,functional
2391,non functional
2392,functional
2393,functional
2394,non functional
2395,non functional
2396,functional
2397,non functional
2398,non functional
2399,functional
2400,functional
2401,functional
2402,non functional
2403,functional
2404,functional
2405,functional
2406,functional
2407,functional
2408,functional needs repair
2409,functional
2410,functional
2411,non functional
2412,non functional
2413,non functional
2414,non functional
2415,non functional
2416,non functional
2417,non functional
2418,functional
2419,non functional
2420,functional
2421,non functional
2422,non functional
2423,functional
2424,functional
2425,functional
2426,non functional
2427,non functional
2428,functional
2429,functional
2430,non functional
2431,non functional
2432,functional
2433,functional needs repair
2434,functional
2435,non functional
2436,functional
2437,functional needs repair
2438,non functional
2439,functional
2440,functional
2441,functional
2442,non functional
2443,functional needs repair
2444,non functional
2445,non functional
2446,non functional
2447,non functional
2448,non functional
2449,functional needs repair
2450,functional
2451,functional
2452,functional
2453,functional
2454,functional
2455,functional
2456,non functional
2457,functional
2458,functional
2459,functional needs repair
2460,functional
2461,functional
2462,non functional
2463,functional
2464,functional
2465,non functional
2466,functional needs repair
2467,functional
2468,functional
2469,non functional
2470,functional
2471,functional
2472,functional
2473,functional
2474,functional needs repair
2475,functional
2476,non functional
2477,functional
2478,non functional
2479,non functional
2480,functional
2481,functional needs repair
2482,functional
2483,non functional
2484,functional
2485,functional
2486,functional
2487,non functional
2488,functional needs repair
2489,functional
2490,functional
2491,non functional
2492,functional
2493,functional
2494,non functional
2495,non functional
2496,non functional
2497,functional
2498,functional
2499,non functional
